NIVELEDUC	INGRESO	VELOCGASTO
0.545060579	0.724143193	33.08006093
0.864375744	0.752586444	19.55022373
0.637256996	0.407055879	6.379531907
0.110934782	0.605273598	187.6885091
0.866389966	0.664876247	12.84689321
0.58189642	0.219153417	4.083515221
0.665364544	0.183812983	2.297976558
0.763786737	0.998168889	188.1898362
0.731345561	0.646290475	12.48932916
0.787804804	0.514084292	5.175384124
0.952726829	0.075075533	1.961528879
0.021546068	0.856105228	1683.098293
0.986358226	0.226630451	1.566079753
0.514450514	0.419354839	14.1856253
0.516495254	0.939420759	157.0630515
0.577990051	0.28931547	4.900408034
0.726584674	0.843226417	41.01640918
0.281991028	0.878292184	295.3969891
0.015106662	0.336680197	135.7328471
0.147953734	0.969725639	1656.435139
0.487166967	0.238074892	7.602141928
0.821222571	0.827478866	34.37529389
0.252174444	0.01638844	18.4777494
0.002563555	0.525315104	280.704063
0.059846797	0.008880886	61.30061508
0.421155431	0.153721732	8.557527164
0.305246132	0.530899991	48.75583149
0.129367962	0.05978576	36.6930141
0.934110538	0.284737693	0.642592985
0.901669362	0.776390881	24.57632059
0.279915769	0.973632008	677.8239246
0.017517624	0.797265542	1092.909003
0.363780633	0.526810511	35.49460661
0.211188086	0.854029969	383.1236748
0.688589129	0.842463454	42.18856216
0.067903684	0.851374859	1074.463293
0.05835139	0.454206977	147.7763749
0.649342326	0.116641743	2.85374466
0.454451125	0.027954955	5.095755837
0.628284555	0.120212409	4.327796348
0.499465926	0.09479049	3.860304784
0.714621418	0.322763756	4.959322794
0.540421766	0.926755577	128.111157
0.653492843	0.305734428	4.249990377
0.882229072	0.960997345	143.1884085
0.577013459	0.841334269	59.92295588
0.202856532	0.679616688	149.7670663
0.990630818	0.058107242	2.419041475
0.681569872	0.35032197	3.940844105
0.175634022	0.358745079	52.88564063
0.870784631	0.534928434	8.288984817
0.289010285	0.245551927	19.91944994
0.843897824	0.771538438	22.72296377
0.941496017	0.711050752	16.3778701
0.649433882	0.336893826	5.968176061
0.535691397	0.348612934	7.943040383
0.60319834	0.495101779	10.72735952
0.145023957	0.840754418	547.6176795
0.449446089	0.138798181	6.842910307
0.215216529	0.979857784	1107.401431
0.922696615	0.229224525	3.889107983
0.868861965	0.879055147	55.03194763
0.740714743	0.941404462	100.5750469
0.095065157	0.528275399	151.9890121
0.56102176	0.920468764	114.4923485
0.605273598	0.352671896	7.31111101
0.931058687	0.555955687	5.809616538
0.635731071	0.928922391	101.1815943
0.763878292	0.679525132	13.40572782
0.479171117	0.516129032	19.08985962
0.370494705	0.592852565	43.70333823
0.025757622	0.557390057	272.2616419
0.580217902	0.832117679	54.97565793
0.095431379	0.808496353	623.684237
0.979918821	0.574602496	7.241130938
0.84212775	0.249397259	2.030170613
0.803796503	0.094637898	1.53617083
0.011780145	0.435651723	187.3005748
0.504959258	0.174260689	4.625626446
0.335123753	0.445204016	30.24740085
0.539506211	0.875209815	85.22952395
0.836298715	0.077242347	2.515043373
0.395092624	0.578691977	36.88502131
0.338785974	0.459273049	32.79759538
0.39475692	0.698965423	59.5002764
0.950132756	0.718649861	17.29859242
0.307382427	0.976775414	594.4556749
0.80590228	0.874752037	53.28135726
0.296029542	0.759361553	132.0707421
0.855189673	0.608081301	8.053737419
0.235480819	0.172826319	21.74393991
0.968077639	0.06286813	3.541095646
0.930143132	0.593615528	8.561564287
0.146702475	0.338602863	58.24258699
0.263466292	0.324747459	30.78279329
0.121158483	0.827784051	590.2071864
0.81060213	0.883663442	55.2236437
0.111087374	0.055177465	40.08013726
0.944761498	0.807397687	33.09805052
0.035126804	0.175786615	81.68044268
0.969237342	0.381817072	2.759220307
0.948332163	0.786675619	30.15504107
0.306039613	0.200781274	17.90204117
0.989501633	0.210028382	0.180951588
0.272377697	0.961668752	632.2640008
0.61976989	0.902859584	83.9973233
0.47624134	0.403454695	13.44831136
0.433149205	0.149967956	7.739402552
0.362437819	0.793725394	110.8250991
0.320749535	0.696523942	83.47107291
0.940336314	0.870662557	65.31701302
0.269783624	0.475997192	47.47110209
0.224188971	0.646351512	114.2591038
0.57841731	0.090426344	3.590078685
0.418164617	0.977752007	337.1389116
0.768028809	0.198767052	2.530566992
0.376171148	0.311380352	15.89809303
0.974059267	0.469435713	3.440639511
0.368663594	0.508316294	31.86172531
0.096377453	0.253975036	63.36842128
0.687246315	0.155095065	3.405105905
0.491012299	0.637409589	29.96405554
0.118411817	0.267677847	57.33245826
0.483657338	0.021729179	4.661559754
0.817835017	0.793877987	27.41674104
0.487258522	0.899288919	125.7710997
0.615802484	0.821008942	44.58025176
0.003936888	0.971190527	6309.945556
0.286355174	0.894924772	328.129968
0.293099765	0.268196661	22.17837394
0.809747612	0.356517228	3.596262215
0.986877041	0.429853206	4.077624841
0.160771508	0.102145451	31.44564067
0.433759575	0.797479171	79.39013264
0.653706473	0.6740318	17.92019821
0.052583392	0.47849971	166.2138786
0.374828333	0.087008271	9.54530722
0.476973785	0.037507248	5.876170422
0.734550005	0.298043764	4.344741104
0.772240364	0.970397046	137.5540232
0.669515061	0.724173711	21.67962752
0.505874813	0.618030335	24.50445791
0.526535844	0.716055788	35.85027387
0.952787866	0.675832392	13.3539908
0.159459212	0.392284921	65.0592423
0.216406751	0.954985199	855.3280851
0.270088809	0.741843928	138.1205405
0.547379986	0.551896725	17.28949226
0.524430067	0.399853511	10.11904517
0.640217292	0.08252205	3.084873801
0.475814081	0.003784295	4.822288279
0.190374462	0.136783959	27.76860935
0.825617237	0.535935545	6.688687952
0.491988891	0.610309153	27.51109555
0.053346355	0.558183538	224.1467652
0.357676931	0.069368572	8.447391451
0.947080905	0.746024964	22.20642196
0.142429884	0.805169836	434.3368253
0.065279092	0.627338481	280.3281721
0.151676992	0.73381756	267.8887397
0.662129582	0.932706687	101.6118963
0.215765862	0.798394726	258.4700902
0.106082339	0.463057344	114.603347
0.711539048	0.029023103	1.581813605
0.324839015	0.881527146	237.5051009
0.812402722	0.917661061	80.73242107
0.305978576	0.334818567	24.97854925
0.248298593	0.263222144	27.75061232
0.1863155	0.311685537	42.86306513
0.356578265	0.144077883	8.989369655
0.95986816	0.643147069	11.58232932
0.705130161	0.173467208	2.883049226
0.336252937	0.052034059	10.44429139
0.069063387	0.694326609	379.4453019
0.781182287	0.157689138	2.480867035
0.042298654	0.070131535	68.37956575
0.269142735	0.341563158	30.21879954
0.064821314	0.727439192	469.6977739
0.78090762	0.380779443	4.036616915
0.147556993	0.106570635	34.87406735
0.075869015	0.255348369	71.85348734
0.075563829	0.177068392	60.12048558
0.771416364	0.035493027	2.920823424
0.371105075	0.673543504	58.90317375
0.259956664	0.255348369	25.2939456
0.797570727	0.708487197	14.47903881
0.495315409	0.679097873	33.92759769
0.685872982	0.918668172	86.88966971
0.179174169	0.866115299	517.9714327
0.864162114	0.800439467	28.54604183
0.379497665	0.441084017	25.5996631
0.472548601	0.391125217	15.28729341
0.111697745	0.475569933	112.6172387
0.443525498	0.952360607	234.9685347
0.913937803	0.886837367	69.9089715
0.929929502	0.8112125	35.3984181
0.947752312	0.260902738	2.332452202
0.461226234	0.016357921	5.662061686
0.655537584	0.005462813	2.118171131
0.109805597	0.964598529	2150.149088
0.505752739	0.239204077	5.607168439
0.448011719	0.654255806	38.29633995
0.857264931	0.3234962	1.753915181
0.577501755	0.72215949	29.49288481
0.474074526	0.443311869	14.5582287
0.012298959	0.919583728	3330.50118
0.721854305	0.142857143	2.384815078
0.69655446	0.184301279	2.5352462
0.977111118	0.222663045	2.234321728
0.938047426	0.964537492	176.7737502
0.28070925	0.904324473	364.1805464
0.539292581	0.950712607	159.2803458
0.766808069	0.668904691	14.39943632
0.907101657	0.872249519	57.74577752
0.898068178	0.6756798	11.675569
0.421735282	0.514603107	25.56185056
0.039155248	0.166814173	74.91743469
0.847224342	0.613544115	7.784722429
0.399426252	0.765129551	79.47198469
0.063844722	0.782464064	667.207348
0.875515	0.070070498	2.726000062
0.904416028	0.129154332	2.915120398
0.826013977	0.459517197	4.164122807
0.374736778	0.718497269	71.39615576
0.308938871	0.502029481	40.41643868
0.040803247	0.536729026	224.5873679
0.813257241	0.887569811	59.8502093
0.862697226	0.114230781	3.231170394
0.015778069	0.281350139	116.1080378
0.257179479	0.462721641	49.65165305
0.594897305	0.008209479	3.91395753
0.670369579	0.482955412	6.988330641
0.631916257	0.973052156	157.4714613
0.440717795	0.499649037	20.58721751
0.63185522	0.723929563	23.27899244
0.23505356	0.079287088	19.56666307
0.694265572	0.064027833	2.792427097
0.837580493	0.787865841	24.35676825
0.866115299	0.118808557	2.772686251
0.573747978	0.043733024	4.294930512
0.207098605	0.264107181	32.24275081
0.150517289	0.722891934	254.6204041
0.599627674	0.822199164	48.76528497
0.193243202	0.672170171	153.2754317
0.833582568	0.931516465	95.87950722
0.261726737	0.787133396	184.0612624
0.998290963	0.496566668	6.321778104
0.625476852	0.810388501	41.43358285
0.712027345	0.623920408	11.63864491
0.580370495	0.507126072	11.94200268
0.220740379	0.451094089	57.50410118
0.58742027	0.37366863	8.263210843
0.897396771	0.774040956	24.01590852
0.015106662	0.535569323	269.5107909
0.17239906	0.379833369	58.16209158
0.766502884	0.991332743	174.3425717
0.427686392	0.49058504	21.87925462
0.572099979	0.858180486	69.67890449
0.884212775	0.22501297	2.091610973
0.230536821	0.776085696	208.2199229
0.015320292	0.483870968	218.6777423
0.577257607	0.125888852	6.352244416
0.516647847	0.165318766	5.972381178
0.463118381	0.218756676	8.949603092
0.363658559	0.116733299	10.4972251
0.524185919	0.111850337	6.268653081
0.988677633	0.72911771	20.88165183
0.023499252	0.20783105	94.80734484
0.108127079	0.580217902	172.2814447
0.546739097	0.293374432	7.966519407
0.231513413	0.032837916	18.118172
0.832087161	0.173772393	3.963780664
0.383007294	0.194402905	11.15456957
0.516708884	0.559099094	22.64238539
0.067629017	0.144169439	61.2464479
0.080172124	0.358806116	93.71357035
0.01248207	0.834223457	1522.96373
0.766441847	0.040864284	1.544660307
0.714712973	0.570451979	10.90168467
0.76555681	0.211279641	1.326096444
0.327341533	0.480117191	35.54526363
0.436475723	0.070894498	6.733726421
0.914395581	0.871761223	61.65288218
0.852229377	0.905240028	73.28910774
0.606128117	0.893978698	81.53884941
0.448286386	0.263740959	8.545109773
0.686269723	0.399365215	4.732467131
0.055940428	0.984984893	4382.888789
0.141697439	0.419782098	78.88048465
0.101809748	0.723349712	352.2590853
0.706839198	0.159001434	1.746698946
0.254188665	0.13452559	18.28057987
0.932737205	0.909512619	91.6886619
0.29831843	0.375011444	30.1243861
0.313394574	0.799066134	148.7893262
0.52128666	0.072359386	5.740409432
0.99978637	0.773827326	33.77320211
0.3877987	0.422589801	21.71233272
0.132816553	0.723929563	286.4606223
0.788598285	0.570604572	8.056435104
